id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P1065,Parent,35-44,Yes,False,No,Depression; Aggression,Low,False,13-17
P1066,Parent,25-34,Yes,True,No,None,Medium,False,9-12
P1067,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P1068,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,True,9-12
P1069,Parent,45-54,Want to but struggle,True,Unsure,Depression; Aggression,Low,True,13-17
P1070,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance,Low,True,13-17
P1071,Parent,25-34,Want to but struggle,False,Unsure,None,Low,False,13-17
P1072,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P1073,Parent,45-54,Yes,False,No,None,Low,True,13-17
P1074,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,True,9-12
P1075,Parent,25-34,Want to but struggle,True,No,None,Low,False,13-17
P1076,Parent,45-54,Yes,True,Unsure,Insomnia,Medium,False,13-17
P1077,Parent,45-54,Yes,True,Unsure,None,High,True,9-12
P1078,Parent,25-34,Yes,False,No,Insomnia,Low,True,13-17
P1079,Parent,55+,Want to but struggle,True,Unsure,Depression,Medium,True,9-12
P1080,Parent,45-54,Yes,True,Unsure,Academic Performance,High,True,9-12
P1081,Parent,45-54,Yes,False,No,None,Low,True,9-12
P1082,Parent,35-44,No,False,No,None,Medium,False,13-17
P1083,Parent,45-54,Yes,False,No,None,Low,False,13-17
P1084,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P1085,Parent,45-54,Yes,True,Unsure,Insomnia,High,False,13-17
P1086,Parent,35-44,Want to but struggle,True,No,None,Medium,True,9-12
P1087,Parent,45-54,Yes,True,No,Insomnia; Academic Performance; Depression,Medium,True,9-12
P1088,Parent,35-44,Yes,True,Unsure,Depression,Medium,True,13-17
P1089,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance,Low,True,13-17
P1090,Parent,35-44,Yes,True,Yes,None,High,False,9-12
P1091,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,False,13-17
P1092,Parent,35-44,No,False,No,Academic Performance,Low,False,13-17
P1093,Parent,45-54,Want to but struggle,False,No,None,Low,True,13-17
P1094,Parent,55+,Yes,False,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,False,9-12
P1095,Parent,35-44,Want to but struggle,False,No,Insomnia; Depression; Aggression,Low,True,13-17
P1096,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,High,True,9-12
P1097,Parent,35-44,Yes,False,No,Insomnia,Low,True,13-17
P1098,Parent,35-44,Want to but struggle,True,No,None,Medium,True,13-17
P1099,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression,Medium,True,9-12
P1100,Parent,35-44,Want to but struggle,False,No,Insomnia; Aggression,Low,False,13-17
P1101,Parent,35-44,Yes,False,No,Academic Performance; Depression,Low,True,13-17
P1102,Parent,35-44,Yes,True,Unsure,Academic Performance,High,True,9-12
P1103,Parent,35-44,Yes,True,Yes,Insomnia,Medium,True,13-17
P1104,Parent,35-44,Want to but struggle,False,No,Academic Performance; Depression; Aggression,Medium,False,13-17
P1105,Parent,35-44,Yes,True,Unsure,Insomnia; Aggression,Medium,False,13-17
P1106,Parent,45-54,Want to but struggle,False,No,Insomnia; Aggression,Low,True,13-17
P1107,Parent,25-34,No,False,Unsure,Depression,Low,False,13-17
P1108,Parent,35-44,Yes,False,Unsure,None,Medium,False,13-17
P1109,Parent,25-34,Yes,True,Unsure,Insomnia; Academic Performance; Depression,High,True,13-17
P1110,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Medium,True,9-12
P1111,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance; Depression,Low,False,13-17
P1112,Parent,25-34,Want to but struggle,False,No,None,Medium,False,9-12
P1113,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P1114,Parent,35-44,Yes,False,No,Insomnia,Low,True,9-12
P1115,Parent,45-54,Want to but struggle,True,Unsure,None,Medium,False,9-12
P1116,Parent,55+,Want to but struggle,False,No,None,Low,True,9-12
P1117,Parent,55+,Want to but struggle,False,No,Aggression,Low,False,13-17
P1118,Parent,45-54,Yes,True,No,Eating Disorders,High,False,9-12
P1119,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P1120,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance,Low,False,13-17
P1121,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P1122,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P1123,Parent,45-54,Yes,True,No,Depression,Medium,True,13-17
P1124,Parent,25-34,Want to but struggle,True,Unsure,Depression,Low,False,9-12
P1125,Parent,45-54,No,False,Unsure,Academic Performance,Low,True,13-17
P1126,Parent,45-54,Yes,False,Unsure,Insomnia; Academic Performance; Eating Disorders,Medium,True,9-12
P1127,Parent,35-44,Want to but struggle,True,No,Depression,Low,True,13-17
P1128,Parent,35-44,Yes,False,No,Academic Performance,Low,False,9-12
P1129,Parent,55+,Yes,True,No,Eating Disorders,Medium,False,13-17
P1130,Parent,35-44,Want to but struggle,True,Unsure,Aggression,Medium,True,9-12
P1131,Parent,35-44,Want to but struggle,False,Unsure,None,Low,False,9-12
P1132,Parent,45-54,Want to but struggle,False,No,None,Low,True,9-12
P1133,Parent,35-44,Yes,True,Unsure,Academic Performance; Eating Disorders,Medium,True,9-12
P1134,Parent,35-44,Want to but struggle,True,No,None,Medium,False,13-17
P1135,Parent,35-44,No,True,No,Insomnia,Low,False,9-12
P1136,Parent,45-54,Yes,True,No,Depression,Medium,True,9-12
P1137,Parent,35-44,Want to but struggle,True,No,Depression; Aggression,Low,True,9-12
P1138,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P1139,Parent,25-34,Yes,True,Unsure,Insomnia,Medium,True,9-12
P1140,Parent,35-44,Yes,True,No,Eating Disorders,Medium,False,13-17
P1141,Parent,45-54,Yes,True,No,Insomnia; Depression,Medium,True,9-12
P1142,Parent,25-34,Yes,True,Unsure,Academic Performance,Medium,False,13-17
P1143,Parent,35-44,Yes,True,No,Insomnia,High,False,13-17
P1144,Parent,45-54,Want to but struggle,False,Unsure,Insomnia; Academic Performance; Depression,Medium,True,13-17
P1145,Parent,45-54,Yes,True,Unsure,Insomnia; Academic Performance,High,True,13-17
P1146,Parent,35-44,Yes,True,Unsure,None,Medium,False,9-12
P1147,Parent,35-44,Want to but struggle,False,No,Insomnia,Medium,True,13-17
P1148,Parent,35-44,Want to but struggle,True,Unsure,None,Low,True,13-17
P1149,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Academic Performance; Depression; Eating Disorders,Low,True,13-17
P1150,Parent,45-54,Want to but struggle,False,No,None,Low,True,9-12
P1151,Parent,35-44,No,True,No,Depression,Low,True,13-17
P1152,Parent,45-54,Want to but struggle,True,No,None,Medium,True,13-17
P1153,Parent,35-44,Yes,False,No,Aggression,Low,False,13-17
P1154,Parent,45-54,Yes,False,Yes,Depression,Low,True,13-17
P1155,Parent,25-34,Yes,True,No,Academic Performance,Medium,False,13-17
P1156,Parent,25-34,Yes,False,No,None,Medium,True,13-17
P1157,Parent,35-44,Yes,False,Yes,Academic Performance; Depression,Low,True,13-17
P1158,Parent,45-54,No,True,Unsure,None,Low,True,13-17
P1159,Parent,35-44,Yes,True,No,Depression,Medium,True,13-17
P1160,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1161,Parent,45-54,Yes,True,No,Academic Performance,High,False,13-17
P1162,Parent,35-44,Yes,True,No,None,High,True,13-17
P1163,Parent,35-44,Yes,False,No,Depression,Low,False,13-17
P1164,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P1165,Parent,45-54,No,True,No,None,Low,False,13-17
P1166,Parent,35-44,Yes,True,Unsure,Eating Disorders,Medium,True,13-17
P1167,Parent,35-44,Want to but struggle,True,No,Academic Performance,Medium,False,9-12
P1168,Parent,35-44,Yes,True,No,Academic Performance; Depression,High,True,9-12
P1169,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression,Medium,False,9-12
P1170,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P1171,Parent,25-34,Want to but struggle,False,Unsure,Academic Performance,Low,True,13-17
P1172,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P1173,Parent,35-44,Want to but struggle,True,Unsure,Depression; Eating Disorders,Low,True,13-17
P1174,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P1175,Parent,25-34,Yes,False,Unsure,Insomnia,Low,True,9-12
P1176,Parent,35-44,Yes,True,Unsure,Depression,High,True,13-17
P1177,Parent,25-34,Yes,True,Unsure,None,Medium,True,9-12
P1178,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1179,Parent,45-54,Want to but struggle,False,No,Academic Performance; Depression,Low,True,13-17
P1180,Parent,45-54,Want to but struggle,True,No,None,Low,False,13-17
P1181,Parent,45-54,Yes,False,Unsure,None,Medium,True,13-17
P1182,Parent,35-44,Want to but struggle,False,No,Academic Performance; Depression,Medium,False,9-12
P1183,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P1184,Parent,45-54,No,False,No,None,Low,False,9-12
P1185,Parent,45-54,No,True,Unsure,Depression,Low,False,13-17
P1186,Parent,45-54,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1187,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Low,True,13-17
P1188,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,True,9-12
P1189,Parent,35-44,Want to but struggle,True,No,Aggression,Medium,True,13-17
P1190,Parent,45-54,Yes,True,No,None,High,False,9-12
P1191,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance; Eating Disorders,High,True,13-17
P1192,Parent,45-54,Want to but struggle,True,No,Depression; Eating Disorders,Low,True,13-17
P1193,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,False,13-17
P1194,Parent,35-44,Yes,True,No,Eating Disorders,High,False,9-12
P1195,Parent,35-44,No,True,Unsure,Insomnia,Medium,True,13-17
P1196,Parent,35-44,Yes,True,Yes,Depression; Eating Disorders,High,True,13-17
P1197,Parent,45-54,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1198,Parent,35-44,No,True,No,Insomnia; Academic Performance,Low,True,9-12
P1199,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,9-12
P1200,Parent,45-54,Yes,True,Unsure,Academic Performance; Depression,Medium,False,9-12
P1201,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P1202,Parent,25-34,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P1203,Parent,35-44,Yes,True,No,Eating Disorders,High,True,13-17
P1204,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,False,13-17
P1205,Parent,55+,Want to but struggle,True,Unsure,Academic Performance,Low,True,13-17
P1206,Parent,35-44,Yes,True,Unsure,None,Medium,True,9-12
P1207,Parent,35-44,Yes,True,No,Insomnia,Medium,True,9-12
P1208,Parent,45-54,Yes,True,No,None,Medium,True,9-12
P1209,Parent,35-44,Yes,True,No,Aggression,Medium,True,13-17
P1210,Parent,35-44,Yes,False,No,Insomnia,Low,True,13-17
P1211,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,False,13-17
P1212,Parent,45-54,Yes,True,Unsure,Insomnia; Academic Performance,Medium,False,13-17
P1213,Parent,25-34,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1214,Parent,35-44,Yes,True,Unsure,Depression; Aggression,High,True,13-17
P1215,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P1216,Parent,35-44,Want to but struggle,False,No,Academic Performance; Eating Disorders,Medium,False,13-17
P1217,Parent,35-44,Want to but struggle,True,Unsure,Depression; Eating Disorders,Low,True,13-17
P1218,Parent,35-44,Yes,False,Yes,Insomnia,Low,False,13-17
P1219,Parent,35-44,Yes,True,Unsure,Insomnia; Eating Disorders,Medium,False,13-17
P1220,Parent,55+,Want to but struggle,False,Unsure,Academic Performance; Eating Disorders,Low,True,13-17
P1221,Parent,35-44,No,True,No,Insomnia,Low,True,13-17
P1222,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P1223,Parent,35-44,Yes,True,No,Insomnia,High,True,13-17
P1224,Parent,25-34,Want to but struggle,True,No,Depression; Aggression,Low,False,13-17
P1225,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Medium,False,13-17
P1226,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,9-12
P1227,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,False,9-12
P1228,Parent,25-34,Want to but struggle,False,No,None,Low,True,13-17
P1229,Parent,45-54,Yes,True,Unsure,Insomnia,Medium,True,13-17
P1230,Parent,55+,Yes,True,No,None,Medium,True,9-12
P1231,Parent,35-44,Yes,True,Unsure,Insomnia; Depression,Medium,False,9-12
P1232,Parent,35-44,Want to but struggle,False,Unsure,Eating Disorders,Low,True,9-12
P1233,Parent,35-44,Want to but struggle,False,No,Insomnia,Low,True,13-17
P1234,Parent,35-44,Yes,True,Yes,None,High,False,9-12
P1235,Parent,35-44,Yes,False,Unsure,Depression,Medium,True,13-17
P1236,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Eating Disorders,Low,True,9-12
P1237,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P1238,Parent,45-54,Want to but struggle,True,Unsure,Eating Disorders,Low,True,9-12
P1239,Parent,45-54,Yes,False,Unsure,Insomnia; Aggression,Low,True,13-17
P1240,Parent,25-34,Want to but struggle,True,Unsure,Depression,Medium,False,13-17
P1241,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P1242,Parent,35-44,Yes,False,No,Insomnia,Low,True,13-17
P1243,Parent,45-54,Want to but struggle,False,Unsure,None,Low,True,13-17
P1244,Parent,35-44,Yes,False,No,None,Low,False,9-12
P1245,Parent,45-54,Yes,False,No,None,Low,True,13-17
P1246,Parent,35-44,Yes,False,No,None,Low,False,9-12
P1247,Parent,35-44,Yes,False,Unsure,Academic Performance; Aggression,Medium,True,9-12
P1248,Parent,45-54,No,False,No,Academic Performance; Aggression,Low,False,9-12
P1249,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1250,Parent,45-54,Yes,True,Unsure,Academic Performance,High,False,13-17
P1251,Parent,35-44,No,True,Unsure,None,Low,False,13-17
P1252,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,False,13-17
P1253,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P1254,Parent,35-44,Want to but struggle,True,Unsure,Depression,Medium,False,13-17
P1255,Parent,55+,Yes,False,Unsure,Academic Performance,Low,True,13-17
P1256,Parent,45-54,Want to but struggle,True,No,Insomnia; Eating Disorders,Medium,True,13-17
P1257,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1258,Parent,45-54,Yes,False,Unsure,None,Medium,True,9-12
P1259,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P1260,Parent,25-34,Yes,True,Unsure,Academic Performance; Eating Disorders,Medium,True,9-12
P1261,Parent,35-44,Want to but struggle,True,No,None,Low,True,9-12
P1262,Parent,25-34,Want to but struggle,False,No,None,Low,False,13-17
P1263,Parent,35-44,Yes,True,Unsure,Academic Performance,High,True,13-17
P1264,Parent,35-44,Want to but struggle,True,Unsure,None,Low,False,13-17
P1265,Parent,35-44,Yes,False,Unsure,None,Medium,False,13-17
P1266,Parent,45-54,Yes,True,Yes,Academic Performance,Medium,True,13-17
P1267,Parent,45-54,Want to but struggle,False,No,Academic Performance,Low,False,9-12
P1268,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Aggression,Medium,True,13-17
P1269,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P1270,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,13-17
P1271,Parent,35-44,Yes,False,Unsure,Academic Performance; Depression,Medium,True,9-12
P1272,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P1273,Parent,25-34,Yes,True,No,Insomnia; Depression; Eating Disorders,High,False,13-17
P1274,Parent,35-44,Yes,True,No,None,High,False,9-12
P1275,Parent,45-54,Yes,False,No,None,Low,False,9-12
P1276,Parent,35-44,Yes,False,No,Academic Performance,Low,True,9-12
P1277,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P1278,Parent,55+,Want to but struggle,True,Unsure,Aggression,Low,True,13-17
P1279,Parent,25-34,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,False,9-12
P1280,Parent,35-44,Yes,True,No,None,High,False,13-17
P1281,Parent,45-54,Yes,False,No,None,Low,False,13-17
P1282,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance; Depression,Low,False,13-17
P1283,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,9-12
P1284,Parent,35-44,Want to but struggle,False,Yes,None,Low,True,13-17
P1285,Parent,45-54,Want to but struggle,True,No,Insomnia; Eating Disorders,Low,True,13-17
P1286,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P1287,Parent,45-54,Want to but struggle,True,No,Depression,Low,True,13-17
P1288,Parent,35-44,No,True,No,Insomnia; Academic Performance,Low,True,13-17
P1289,Parent,45-54,Want to but struggle,True,No,Depression; Eating Disorders,Low,False,9-12
P1290,Parent,35-44,Yes,False,Unsure,Depression; Eating Disorders,Low,True,9-12
P1291,Parent,35-44,Yes,False,Unsure,None,Low,True,9-12
P1292,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P1293,Parent,35-44,Want to but struggle,True,Unsure,Aggression,Low,False,13-17
P1294,Parent,45-54,No,False,Unsure,Academic Performance,Low,False,13-17
P1295,Parent,35-44,Yes,False,Unsure,Insomnia,Medium,True,9-12
P1296,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Low,True,9-12
P1297,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Medium,True,13-17
P1298,Parent,45-54,Yes,False,Yes,Academic Performance,Medium,False,13-17
P1299,Parent,35-44,Yes,False,Unsure,None,Medium,False,9-12
P1300,Parent,35-44,No,False,Unsure,Insomnia,Medium,True,13-17
P1301,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P1302,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Depression,Low,True,9-12
P1303,Parent,25-34,Yes,True,No,None,Medium,True,13-17
P1304,Parent,55+,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P1305,Parent,35-44,Yes,True,No,None,High,False,13-17
P1306,Parent,35-44,Want to but struggle,False,No,None,Low,True,13-17
P1307,Parent,45-54,Yes,False,No,Insomnia; Academic Performance,Medium,True,13-17
P1308,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,True,13-17
P1309,Parent,45-54,Yes,True,No,None,High,False,13-17
P1310,Parent,25-34,Yes,True,Unsure,None,High,False,9-12
P1311,Parent,25-34,Yes,True,Yes,Insomnia,Medium,True,9-12
P1312,Parent,35-44,Want to but struggle,False,No,Aggression,Low,False,13-17
P1313,Parent,35-44,No,True,Unsure,Depression,Low,False,13-17
P1314,Parent,35-44,No,False,Unsure,Insomnia; Eating Disorders; Aggression,Low,True,9-12
P1315,Parent,25-34,Want to but struggle,False,Unsure,None,Low,False,13-17
P1316,Parent,45-54,No,False,Unsure,Academic Performance; Aggression,Low,True,13-17
P1317,Parent,35-44,Want to but struggle,False,No,Academic Performance; Aggression,Low,False,13-17
P1318,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,True,13-17
P1319,Parent,45-54,Want to but struggle,True,No,None,Low,False,13-17
P1320,Parent,35-44,No,False,No,Academic Performance; Aggression,Medium,True,9-12
P1321,Parent,25-34,Want to but struggle,True,No,Aggression,Low,True,13-17
P1322,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,13-17
P1323,Parent,45-54,Yes,True,No,Insomnia; Academic Performance; Depression,Medium,False,9-12
P1324,Parent,35-44,Yes,True,Unsure,None,High,True,9-12
P1325,Parent,45-54,Yes,False,No,Academic Performance; Depression,Medium,False,13-17
P1326,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P1327,Parent,35-44,Want to but struggle,False,Unsure,Depression,Medium,True,9-12
P1328,Parent,45-54,Want to but struggle,False,No,Depression,Low,True,13-17
P1329,Parent,45-54,No,False,Unsure,Insomnia; Academic Performance,Medium,False,13-17
P1330,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,True,13-17
P1331,Parent,25-34,Yes,False,No,Depression; Aggression,Low,True,9-12
P1332,Parent,35-44,Yes,False,No,None,Low,True,13-17
P1333,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,False,9-12
P1334,Parent,25-34,Yes,False,No,Insomnia; Academic Performance; Depression,Medium,True,13-17
P1335,Parent,35-44,Yes,True,No,Academic Performance; Aggression,Medium,True,13-17
P1336,Parent,35-44,No,False,No,None,Medium,True,9-12
P1337,Parent,55+,Want to but struggle,False,Unsure,Aggression,Low,False,9-12
P1338,Parent,45-54,Yes,False,No,Academic Performance; Depression; Eating Disorders,Medium,True,13-17
P1339,Parent,45-54,Yes,False,No,Aggression,Low,False,13-17
P1340,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P1341,Parent,45-54,Yes,True,Unsure,Academic Performance; Depression,Medium,False,13-17
P1342,Parent,35-44,Want to but struggle,False,No,None,Low,False,9-12
P1343,Parent,35-44,Yes,False,No,Insomnia,Medium,True,13-17
P1344,Parent,45-54,Yes,True,No,Eating Disorders,Medium,False,9-12
P1345,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Aggression,Low,True,13-17
P1346,Parent,45-54,Want to but struggle,True,No,None,Low,True,9-12
P1347,Parent,35-44,No,True,No,Academic Performance; Aggression,Low,True,9-12
P1348,Parent,25-34,Yes,False,No,Academic Performance; Aggression,Low,True,9-12
P1349,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,9-12
P1350,Parent,45-54,Yes,True,No,Academic Performance,Medium,True,13-17
P1351,Parent,35-44,Yes,True,No,Aggression,Medium,False,13-17
P1352,Parent,35-44,Yes,False,No,Insomnia,Medium,True,9-12
P1353,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1354,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P1355,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P1356,Parent,45-54,Want to but struggle,True,No,None,Low,True,9-12
P1357,Parent,45-54,Yes,True,No,Insomnia,Medium,True,13-17
P1358,Parent,35-44,No,True,No,None,Low,False,9-12
P1359,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Low,True,9-12
P1360,Parent,35-44,Yes,True,No,Depression; Aggression,High,True,13-17
P1361,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,True,13-17
P1362,Parent,35-44,Yes,True,No,Insomnia,High,True,9-12
P1363,Parent,35-44,Yes,False,No,None,Low,True,13-17
P1364,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,False,9-12
P1365,Parent,45-54,Want to but struggle,False,No,Depression,Low,False,9-12
P1366,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,High,True,9-12
P1367,Parent,45-54,Yes,False,Unsure,Academic Performance,Medium,True,13-17
P1368,Parent,35-44,Want to but struggle,False,Unsure,Aggression,Low,True,13-17
P1369,Parent,35-44,Yes,False,No,None,Low,False,13-17
P1370,Parent,45-54,Yes,True,No,None,High,False,9-12
P1371,Parent,55+,No,True,Unsure,Insomnia; Academic Performance; Eating Disorders; Aggression,Low,True,9-12
P1372,Parent,25-34,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P1373,Parent,45-54,Yes,False,Unsure,Insomnia; Academic Performance,Low,True,13-17
P1374,Parent,35-44,Yes,False,No,None,Medium,True,13-17
P1375,Parent,45-54,Yes,True,No,Insomnia,High,True,9-12
P1376,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Medium,False,13-17
P1377,Parent,35-44,Yes,True,No,None,High,False,13-17
P1378,Parent,55+,Yes,True,No,Eating Disorders; Aggression,Medium,True,13-17
P1379,Parent,35-44,Want to but struggle,True,No,None,Medium,False,13-17
P1380,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P1381,Parent,35-44,Yes,True,Unsure,Eating Disorders,Medium,False,9-12
P1382,Parent,45-54,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P1383,Parent,35-44,Want to but struggle,True,No,Academic Performance; Depression; Aggression,Low,False,13-17
P1384,Parent,45-54,No,True,No,Insomnia; Academic Performance,Low,True,9-12
P1385,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Depression,Medium,False,13-17
P1386,Parent,45-54,Yes,False,Unsure,Insomnia,Low,False,9-12
P1387,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P1388,Parent,35-44,Yes,False,No,Insomnia; Depression,Low,True,13-17
P1389,Parent,35-44,Yes,False,No,Academic Performance; Aggression,Low,False,13-17
P1390,Parent,45-54,Want to but struggle,True,Unsure,Insomnia; Aggression,Low,True,13-17
P1391,Parent,25-34,No,False,Unsure,None,Low,False,13-17
P1392,Parent,25-34,No,True,No,Insomnia,Medium,False,13-17
P1393,Parent,35-44,Yes,True,No,Depression,High,True,13-17
P1394,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P1395,Parent,45-54,Want to but struggle,True,No,None,Medium,True,13-17
P1396,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,False,9-12
P1397,Parent,35-44,Want to but struggle,True,No,Academic Performance,Medium,True,13-17
P1398,Parent,35-44,Yes,False,No,Aggression,Medium,True,13-17
P1399,Parent,35-44,Yes,True,No,Aggression,High,True,9-12
P1400,Parent,35-44,Yes,True,No,None,High,False,13-17
P1401,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P1402,Parent,35-44,Yes,True,Yes,Insomnia; Academic Performance,High,True,13-17
P1403,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P1404,Parent,35-44,Yes,False,No,None,Medium,True,13-17
P1405,Parent,35-44,Want to but struggle,True,No,Academic Performance; Eating Disorders,Low,False,13-17
P1406,Parent,45-54,Yes,True,No,Insomnia; Eating Disorders,High,False,9-12
P1407,Parent,35-44,Yes,True,No,Insomnia; Depression,High,False,13-17
P1408,Parent,35-44,Yes,True,No,Depression,Medium,True,13-17
P1409,Parent,35-44,Yes,True,No,Insomnia,Medium,True,13-17
P1410,Parent,35-44,Yes,False,Unsure,None,Low,True,9-12
P1411,Parent,55+,Yes,True,No,None,Medium,True,13-17
P1412,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P1413,Parent,45-54,Want to but struggle,True,No,Aggression,Low,False,13-17
P1414,Parent,45-54,Yes,False,No,Insomnia; Academic Performance; Depression; Aggression,Low,True,9-12
P1415,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P1416,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P1417,Parent,35-44,Want to but struggle,False,No,Aggression,Low,True,13-17
P1418,Parent,35-44,Want to but struggle,True,No,Depression,Low,False,9-12
P1419,Parent,45-54,Want to but struggle,False,No,None,Low,False,13-17
P1420,Parent,45-54,Want to but struggle,False,Unsure,Eating Disorders,Low,False,9-12
P1421,Parent,45-54,Yes,True,No,Eating Disorders,High,True,9-12
P1422,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Low,True,13-17
P1423,Parent,25-34,Want to but struggle,True,No,Depression,Low,True,13-17
P1424,Parent,35-44,Yes,True,No,None,High,True,13-17
